ID,code,author,title,subject,publisher,publication Date,format,notes,loaned to,date from,date to
3868,914.24,"fry,eileen/harvey,rosemary",haunted gloucester,travel/local interest/gloucester/occult,tempus,2004,p/b,,,,
3869,781.66dav,"morton,brian",miles davis,music/jazz/biography,haus,2005,p/b,,,,
3870,781.66zaw,"glasser,brian",in a silent way,music/jazz/biography,sanctuary,2001,h/b+wrapper,,,,
3871,781.66hec,"heckstall-smith,dick/grant,pete",blowing the blues,music/jazz/biography,cb bath,2004,p/b+cd audio,"+ 7 tracks music cd 
'you don't know dick!'",,,
3872,951,"roberts,j.a.g.",the complete history of china,history/china,sutton,2003,p/b,,,,
3873,YA,"dahl,roald",charlie and the chocolate factory,,puffin,19950,p/b,,,,
3874,ref489.3,anon,english-greek dictionary,language,michigan press,1976,h/b,,,,
3875,ref489.3,"stavropoulos,d.n.",oxford greek-english dictionary,language,oxford,2000,h/b,,,,
3877,YA,"rowling,j.k",harry potter and the half-blood prince,Fiction,bloomsbury,2005,h/b+wrapper,harry potter:6,,,
3878,428,"durran,james/stewart,jim",student handbook english,language english,pearson,2000,p/b,,,,
3879,425,"swan,michael",practical english usage,language/english,oxford,1990,p/b,,,,
3880,425,"mcgrath,ian/prowser,philip",intermediate grammar helpline,language/english,heinemann,1993,p/b,,,,
3881,425,"fagin,anthony",first certificate grammar practice,language/english,nelson,1989,p/b,,,,
3882,425,"willis,dave",collins cobuild student's grammar,language/english,collins,1996,p/b,,,,
3883,425,"hill,jimmie/hurst,rosalyn et al",grammar and practice with answer key,language/english,LTP,1992,p/b,,,,
3884,425,"dainty,peter",penguin grammar workbook 1,language,penguin,,p/b,,,,
3885,ref425,"murphy,raymond/smalzer,william.r.",basic grammar in use. second edition,language,cambridge,2004,p/b+c.d,,,,
3891,gcse540,"harwood,richard",chemistry,chemistry,cambridge,2003,p/b,,,,
3893,428,"redman,stuart/gairns,ruth",test your english vocabulary in use,language,cambridge,2005,p/b,2nd edition,,,
3897,574.07,"adds,john/clamp,alan/furness-smith,martin/larkcom,erica/miller,ruth",make the grade A2 biology with human biology,biology/human biology,nelson thorne,2002,p/b,make the grade series,,,
3898,574,"jones,mary/gregory,jennifer",biology 2,biology,cambridge,2006,p/b,,,,
3899,YA,"colfer,eoin",artemis fowl the eternity code,Fiction,puffin,2003,h/b+wrapper,part 3 in series?,,,
3900,YA,"colfer,eoin",artemis fowl and the lost colony,Fiction,puffin,2006,h/b+wrapper,part 5 in series?,,,
3901,398.22,"morgan,giles",the holy grail,legend/mythology/king arthur,pocket essentials,2005,h/b+wrapper,,,,
3902,813.54,"grisham,john",the king of torts,Fiction,arrow,2003,p/b,,,,
3903,813wol,"wolfe,tom",the bonfire of the vanities,literature/american/prose,mayflowerpicador,2002,p/b,,,,
3904,861ner,"neruda,pablo",selected poems,spanish literature/poetry,penguin,2000,p/b,,,,
3905,428,"van emden,joan",a handbook of writing for engineers,language/english/writing,palgrave,2004,p/b,second edition,,,
3907,320.2,"matthews,herbert",fidel castro,politics,the guardian,2007,pamphlet,no:13 in series,,,
3908,320.2,"viereck,george silvester",adolf hitler,politics,the guardian,2007,pamphlet,no:10 in series,,,
3909,320.2,"coleman,terry",margaret thatcher,politics,the guardian,2007,pamphlet,no:12 in series,,,
3910,813.fit,"mok,michel",f.scott fitzgerald,literature,the guardian,2007,pamphlet,no:11 in series,,,
3911,791.43092bra,"capote,truman",marlon brando,arts and recreation/public performance/cinema,the guardian,2007,pamphlet,no:4 in series,,,
3912,914.7,"jenkins,ruth",russia,travel,evans,2006,h/b,countries of the world series,,,
3913,919.4,"proser,robert",australia,travel,evans,2007,h/b,countries of the world series,,,
3914,918.2,"fearns,les/fearns,daisy",argentina,travel,evans,205,h/b,countries of the world series,,,
3915,916.69,"robson,lorna",nigeria,travel,evans,2005,h/b,countries of the world series,,,
3916,918.15,"scoones,simon",rio de janeiro,travel/cities/brazil,evans,2006,h/b,global cities series,,,
